// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s1% clip size"
"Attrib_Penetration_Heavy"				"Bullets penetrate +%s1 enemies"
"Attrib_ArmorPiercing"					"Increase backstab damage against Giant Robots by %s1%"
"Attrib_CannotPickUpIntelligence"		"Wearer cannot carry the intelligence briefcase or PASS Time JACK"
"Attrib_ChanceOfHungerDecrease"			"Reduces chance of hunger by up to %s1%"
"Attrib_CannotBeBackstabbed"			"Cannot be backstabbed"
"Attrib_ShareConsumable"				"Using your Power Up Canteen will apply the same bonus effect to your heal target"
"Attrib_CritVsDisguised"				"100% critical hit vs disguised players"
"Attrib_CritVsNonBurning"				"100% critical hit vs non-burning players"
"Attrib_KillForcesAttackerLaugh"		"On Kill: Burst into joyous laughter"
"Attrib_DmgBonus_Disguised"				"+%s1% damage bonus while disguised"
"Attrib_Projectile_Spread_Angle_Negative"	"+%s1 degrees random projectile deviation"
"Attrib_AutoFiresFullClip"				"Hold Fire to load up to three rockets\nRelease Fire to unleash the barrage"
"Attrib_SelfMarkForDeath"				"You are Marked-For-Death while active, and for short period after switching weapons"
"Attrib_FlaregunPelletsWithKnockback"			"Flare knocks back target on hit\nand explodes when it hits the ground.\nIncreased knock back on burning players"
"Attrib_CanOverload"					"Overloading the chamber will cause a misfire"
"Attrib_BoostOnDamage"					"On Hit: Builds Boost\nRun speed increased with Boost"
"Attrib_HypeOnDamage"					"On Hit: Builds Hype"
"Attrib_HypeResetsOnJump"				"Boost reduced on air jumps"
"Attrib_losehypeontakedamage"			"Boost reduced when hit"
"Attrib_PyroYearNumber"					"Witnessed the %s1 inferno"
"Attrib_NoPrimaryAmmoFromDispensers"	"No ammo from dispensers when active"
"Attrib_PyrovisionOptIn"				"On Equip: Visit Pyroland"
"Attrib_PyrovisionFilter"				"Only visible in Pyroland"
"Attrib_Sapper_Damage_Bonus"			"+%s1% sapper damage bonus"
"Attrib_Sapper_Damage_Penalty"			"%s1% sapper damage penalty"
"Attrib_Sapper_Leaches_Health"			"+%s1 health regenerated per second for each active sapper"
"Attrib_Sapper_Health_Bonus"			"%s1% sapper health bonus"
"Attrib_Sapper_Health_Penalty"			"%s1% sapper health penalty"
"Attrib_Ring_Of_Fire_While_Aiming"		"Creates a ring of flames while spun up"
"Attrib_Uses_Ammo_While_Aiming"			"Consumes an additional %s1 ammo per second while spun up"
"Attrib_Sapper_Degenerates_Buildings"	"Reverses enemy building construction"
"Attrib_Cleaver_Description"			"Throw at your enemies to make them bleed!  Long distance hits reduce recharge time"
"Attrib_CritVsStunned"					"100% critical hit vs stunned players"
"Attrib_CritVsWet"						"100% critical hit vs wet players"
"Attrib_ClipSize_Atomic"				"+%s1 clip size"
"Attrib_HalloweenSpell_RGB"				"%s1"
"Attrib_HalloweenSpell_Footstep"		"%s1"
"Attrib_HalloweenSpell_Voice"			"Voices From Below"
"Attrib_HalloweenSpell_PumpkinBombs"	"Pumpkin Bombs"
"Attrib_HalloweenSpell_GreenFlames"		"Halloween Fire"
"Attrib_HalloweenSpell_DeathGhosts"		"Exorcism"
"Attrib_SoldierBackpackRange"			"Effect Radius +%s1%"
"Attrib_LifeleechOnDamage"				"Lifeleech %s1%"
"Attrib_SentryAmmo"						"Sentry Ammo +%s1"
"Attrib_CritChance"						"Crit Chance +%s1%"
"Attrib_AOEHealChance_Small"			"Small Chance to heal teammates around you when you deal damage"
"Attrib_AOEHealChance_Large"			"Large Chance to heal teammates around you when you deal damage"
"Attrib_StunChance_Small"				"Small Chance to stun enemies you damage"
"Attrib_StunChance_Large"				"Large Chance to stun enemies you damage"
"Attrib_AOEDamageChance_Small"			"Small Chance to shock enemies near targets you damage"
"Attrib_AOEDamageChance_Large"			"Large Chance to shock enemies near targets you damage"
"Attrib_CritStreakChance_Small"			"Small Chance to become Crit Boosted when you deal damage"
"Attrib_CritStreakChance_Large"			"Large Chance to become Crit Boosted when you deal damage"
"Attrib_UberOnHitChance"				"+%s1% Chance to become Übered when enemies damage you"
"Attrib_DamageSameClass"				"+%s1% Damage to Enemies of the Same Class"
"Attrib_TeleportInsteadOfDie"			"+%s1% Chance to Teleport to base when taking damage that would otherwise kill you"
"Attrib_MeleeCleaveAttack"				"Cleave Attack"
"Attrib_Sentry_Build_Rate"				"Sentry build speed increased by %s1%"
"Attrib_Teleporter_Build_Rate"			"Increases teleporter build speed by %s1%"
"Attrib_Grenade_Launcher_Mortar_Mode"	"Cannonballs have a fuse time of 1 second; fuses can be primed to explode earlier by holding down the fire key"
"Attrib_Grenade_Not_Explode_On_Impact"	"Cannonballs do not explode on impact"
"Attrib_Grenade_Damage_Reduction_On_World_Contact"	"%s1% damage on contact with surfaces"
"Attrib_Building_Telporting_PickUp"		"Alt-Fire: Use %s1 metal to pick up your targeted building from long range"
"Attrib_EngineerBuildingRescueRage"		"Generate building rescue energy on damage"
"Attrib_MarkedForDeathOnBuildingPickup" "Self mark for death when hauling buildings"
"Attrib_ArrowHealsBuildings"			"Fires a special bolt that can repair friendly buildings"
"Attrib_Cannonball_Push_Back"			"Cannonballs push players back on impact"
"Attrib_Overheal_Fill_Rate_Reduced"		"%s1% Overheal build rate"
"Attrib_Healing_Provided_Resistance"	"When healing, provides you and your target with a constant 10% resistance to the selected damage type."
"Attrib_Canteen_Specialist"				"Share Canteens with your heal target\n+1 duration, -10 price per point (minimum cost: 5)"
"Attrib_Overheal_Expert"				"+25% more overheal, +50% longer duration per point"
"Attrib_Medic_MadMilkSyringes"			"Syringes deliver a highly concentrated dose of Mad Milk. Duration increases per hit to a max of 4 seconds."
"Attrib_Rocket_Specialist"				"+15% rocket speed per point. On direct hits: rocket does maximum damage, stuns target, and blast radius increased +15% per point."
"Attrib_Healing_Mastery"				"+25% heal rate for patient, +25% faster revive rate, and +25% self heal rate, per point"
"Attrib_RageOnHeal"						"Build energy by healing teammates. When fully charged, press the Special-Attack key to deploy a frontal projectile shield."
"Attrib_HealingReceivedBonus"			"+%s1% bonus healing from all sources"
"Attrib_HealingReceivedPenalty"			"%s1% less healing from all sources"
"Attrib_HealingFromMedics_Negative"		"%s1% less healing from Medic sources"
"Attrib_AfterburnImmunity"				"Immune to the effects of afterburn"
"Attrib_TauntParticles"					"Extra effects when taunting"
"Attrib_CallingCardOnKill"				"Leave a Calling Card on your victims"
"Attrib_AmmoPerShotMissed"				"Per Shot Missed: -%s1 ammo"
"Attrib_MiniCritBoost_OnKill"			"On Kill: Gain Mini-crits for %s1 seconds"
"Attrib_MiniCritBoost_WhenCharged"		"Secondary fire when charged grants mini-crits for %s1 seconds"
"Attrib_MiniCritBoost_ChargeRate"		"Dealing damage fills charge meter"
"Attrib_NoMetalFromDispensersWhileActive"	"No metal from dispensers when active"
"Attrib_SniperCritNoScope"				"Charge and fire shots independent of zoom"
"Attrib_SniperIndependentZoom"			"Zoom does not affect charge"
"Attrib_KillsRefillMeter"				"Melee kills refill %s1% of your charge meter"
"Attrib_HitsRefillMeter"				"Melee hits refill %s1% of your charge meter"
"Attrib_AirControl"						"%s1% increased air control"
"Attrib_AirControlBlastJump"			"%s1% increased air control when blast jumping"
"Attrib_HypeDecays"						"Hype Decays Over Time"
"Attrib_RocketJumpAttackRateBonus"		"Increased attack speed and smaller blast radius while blast jumping"
"Attrib_NonRocketJumpAttackRatePenalty"		"Decreased %s1% attack speed while not blast jumping"
"Attrib_AirBombardment"					"Fires 3 barrages while explosive jumping"
"Attrib_IncreaesBlastJumpForce"			"Increased blast jump force"
"Attrib_ExtraRocketsOnKill"			"Clip size increased on kill"
"Attrib_Summer2014Tag"					"Rewarded for participating in the 2014 Summer Adventure"
"Attrib_CrateGenerationCode"			"Crate generation code: '%s1'"
"Attrib_AiXenoSetBonusPos"					"Increased Melee damage against Isolated Merc Set"
"Attrib_AiXenoSetBonusNeg"					"Increased Nostromo Napalmer damage taken from Isolated Merc Set"
"Attrib_AiMercSetBonusPos"					"Increased Nostromo Napalmer damage against Isolationist Pack Set"
"Attrib_AiMercSetBonusNeg"					"Increased Melee damage taken from Isolationist Pack Set"
"Attrib_stickybomb_fizzle_time"				"Stickybombs fizzle %s1 seconds after landing"
"Attrib_stickybomb_charge_rate"				"Max charge time decreased by %s1%"
"Attrib_stickybomb_charge_damage_increase"	"Up to +%s1% damage based on charge"
"Attrib_grenade_no_bounce"					"Grenades have very little bounce and roll"
"Attrib_GrenadeDetonationDamagePenalty"		"%s1% damage on grenades that explode on timer"
"Attrib_LoseDemoChargeOnDamageWhenCharging"	"Taking damage while shield charging reduces remaining charging time"
"Attrib_PanicAttack"					"Hold fire to load up to 4 shells"
"Attrib_FireRateBonusWithReducedHealth"	"Fire rate increases as health decreases"
"Attrib_PanicAttackNegative"			"Weapon spread increases as health decreases"
"Attrib_AutoFiresFullClipNegative"		""
"Attrib_AutoFiresWhenFull"				""
"Attrib_SpeedBoostOnKill"				"Gain a speed boost on kill"
"Attrib_SpeedBoostOnHit"				"On Hit: Gain a speed boost"
"Attrib_spup_damage_resistance"			"%s1% damage resistance when below 50% health and spun up"
"Attrib_stattrakmodule"					"%s1 Stat Clock Attached"
"Attrib_HasTeamColorPaintkit"			"Team Colored Decorated Weapon"
"Attrib_MeleeRangeMultiplier"			"%s1% increased melee attack range"
"Attrib_ItemsTradedIn"					"Items Traded in : %s1"
"Attrib_LunchboxAddsAmmo"				"Restores ammo as well as health"
"Attrib_LunchboxHealingDecreased"		"%s1% healing effect"
"Attrib_IsASword"						"This Weapon has a large melee range and\ndeploys and holsters slower"
"Attrib_AmmoGivesCharge"				"Ammo boxes collected also refill your charge meter"
"Attrib_IsFestivized"						"Festivized"
"Attrib_Fuse_Bonus"						"%s1% fuse time on grenades"
"Attrib_DamageBonusAgainstSentryTarget" "%s1% increased damage to your sentry's target"
"Attrib_TeleporterBuildCost"			"%s1% metal cost when constructing or upgrading teleporters"
"Attrib_DmgBonusVsBurning"				"%s1% damage bonus vs burning players"
"Attrib_PierceResists"					"Attacks pierce damage resistance effects and bonuses"
"Attrib_PatientOverheal_Penalty"		"%s1% maximum overheal on wearer"
"Attrib_AddHeadOnKill"					"Collect the organs of your victims"
"Attrib_UberchargeSavedOnHit"			"Collect the organs of people you hit"
"Attrib_SpreadPenaltyScalesCons"		"Successive shots become less accurate"
"Attrib_FixedShotPattern"				"Fires a wide, fixed shot pattern"
"Attrib_SpunUpPushForceResist"			"Immune to push force from damage and airblast when spun up"
"Attrib_DisguiseConsumesCloak"			"Normal disguises require (and consume) a full cloak meter"
"Attrib_MaxHealthDrain"					"Maximum health is drained while item is active"
"Attrib_ImpactPushback"					"Push enemies back when you land (force and radius based on velocity)"
"Attrib_ImpactStun"						"Stun enemies when you land"
"Attrib_ThermalThrusterAirLaunch"		"Able to re-launch while already in-flight"
"Attrib_ChargeMeterRateMult"			"%s1% faster recharge rate"
"Attrib_ChargeMeterRateMult_shortdesc"	"%s1% Recharge Rate"
"Attrib_ExplodeOnIgnite"				"Ignited enemies explode"
"Attrib_ExplodeOnIgnite_shortdesc"		"Explode On Ignite"
"Attrib_SpeedBoostEnemy"				"Gain a speed boost when you hit an enemy player"
"Attrib_MeterResupplyDenied"			"Spawning and resupply do not affect the Gas meter"
"Attrib_MeterStartsEmpty"				"Gas meter starts empty"
"Attrib_MeterChargeType3"				"Gas meter builds with damage done and/or time"
"Attrib_ConsumesBurning"				"Mini-crits burning targets and extinguishes them.\nDamage increases based on remaining duration of afterburn\nKilling blows on burning players grant a speed boost."
"Attrib_RepairHealthToMetalRatio"		"%s1-to-1 health-to-metal ratio when repairing buildings"

"Econ_Attrib_UserGeneratedWrapper_1"		"MvM only: %s1"
"Econ_Attrib_UserGeneratedWrapper_2"		"Halloween: %s1 (spell only active during event)"

"Attrib_HalloweenSpellbookPage_A"		"Pages of Tumidum: %s1"
"Attrib_HalloweenSpellbookPage_B"		"Pages of Gratanter: %s1"
"Attrib_HalloweenSpellbookPage_C"		"Pages of Audere: %s1"
"Attrib_HalloweenSpellbookPage_D"		"Pages of Congeriae: %s1"
"Attrib_HalloweenSpellbookPage_E"		"Pages of Veteris: %s1"

// SHORT DESCRIPTIONS FOR THE MVM UPGRADE UI

// Self
"Attrib_MoveSpeed_Bonus_shortdesc"				"+%s1% Movement Speed"
"Attrib_JumpHeightBonus_shortdesc"				"+%s1% Jump Height"
"Attrib_AmmoRegen_shortdesc"					"+%s1% Ammo Regen"
"Attrib_MetalRegen_shortdesc"					"+%s1 Metal Regen"
"Attrib_HealthRegen_shortdesc"					"+%s1 Health Regen"
"Attrib_DmgTaken_From_Fire_Reduced_shortdesc"		"+%s1% Fire Resistance"
"Attrib_DmgTaken_From_Crit_Reduced_shortdesc"		"+%s1% Crit Resistance"
"Attrib_DmgTaken_From_Blast_Reduced_shortdesc"		"+%s1% Blast Resistance"
"Attrib_DmgTaken_From_Bullets_Reduced_shortdesc"	"+%s1% Bullet Resistance"
"Attrib_DamageForceReduction_shortdesc"			"%s1% Push Force"

// Bottles
"Attrib_CritBoost_shortdesc"					"Become Crit Boosted"
"Attrib_Ubercharge_shortdesc"					"Become Übercharged"
"Attrib_RefillAmmo_shortdesc"					"Refill Clips and Ammo"
"Attrib_Recall_shortdesc"						"Teleport To Spawn"
"Attrib_BuildingInstaUpgrade_shortdesc"			"Building Upgrade"

// General Weapon
"Attrib_ClipSize_Positive_shortdesc"			"+%s1% Clip Size"
"Attrib_MaxammoPrimary_Increased_shortdesc"		"+%s1% Ammo Capacity"
"Attrib_MaxammoSecondary_Increased_shortdesc"	"+%s1% Ammo Capacity"
"Attrib_FastReload_shortdesc"					"+%s1% Reload Speed"
"Attrib_DamageDone_Positive_shortdesc"			"+%s1% Damage"
"Attrib_FireRate_Positive_shortdesc"			"+%s1% Firing Speed"
"Attrib_MeleeRate_Positive_shortdesc"			"+%s1% Attack Speed"
"Attrib_ProjectileSpeed_Increased_shortdesc"	"+%s1% Projectile Speed"
"Attrib_Penetration_shortdesc"					"Projectile Penetration"
"Attrib_HealOnKill_shortdesc"					"+%s1 Health On Kill"
"Attrib_Dmg_Crit_Falloff"						"Critical damage is affected by range"

// Heavy
"Attrib_RageOnDamage_shortdesc"					"Knockback Rage"
"Attrib_AttackProjectiles_shortdesc"			"Destroy Projectiles"
"Attrib_Penetration_Heavy_shortdesc"			"Projectile Penetration"

// Sniper
"Attrib_AppliesSnareEffect_shortdesc"			"%s1% Speed On Target"
"Attrib_BleedingDuration_shortdesc"				"+%s1s Bleed On Target"
"Attrib_SRifleChargeRate_Increased_shortdesc"	"%s1% Faster Charge"
"Attrib_ExplosiveSniperShot_shortdesc"			"Explosive Headshot"

// Spy
"Attrib_RoboSapper_shortdesc"					"Robot Sapper Power"
"Attrib_CritBoost_OnKill_shortdesc"				"+%s1s Crits On Kill"
"Attrib_ArmorPiercing_shortdesc"				"Armor Penetration"
"Attrib_ConsumeCloakFeignDeath"					"%s1% cloak meter when Feign Death is activated"

// Soldier
"Attrib_BuffTime_Increased_shortdesc"			"+%s1% Buff Duration"
"Attrib_EffectBarRechargeRateIncreased_shortdesc"	"+%s1% Recharge Rate"
"Attrib_Rocket_Specialist_shortdesc"			"Rocket Specialist"

// Engineer
"Attrib_BuildRateBonus_shortdesc"				"+%s1% Build Speed"
"Attrib_BiDirectionalTP_shortdesc"				"2-Way Teleporters"
"Attrib_EngyDisposableSentries_shortdesc"		"+%s1 Disposable Sentry"
"Attrib_SentryFireRate_Increased_shortdesc"		"+%s1% Sentry Firing Speed"
"Attrib_DispenserRadius_Increased_shortdesc"	"+%s1% Dispenser Range"
"Attrib_MaxammoMetal_Increased_shortdesc"		"+%s1% Max Metal Capacity"
"Attrib_EngyBuildingHealthBonus_shortdesc"		"+%s1% Building Health"

// Medic
"Attrib_HealRate_Positive_shortdesc"			"+%s1% Heal Rate"
"Attrib_OverhealAmount_Positive_shortdesc"		"+%s1% Max Overheal"
"Attrib_UberchargeRate_Positive_shortdesc"		"+%s1% ÜberCharge Rate"
"Attrib_OverhealDecay_Positive_shortdesc"		"+%s1% Overheal Time"
"Attrib_UberDurationBonus_shortdesc"			"+%s1s Über Duration"
"Attrib_ShareConsumable_shortdesc"				"Share Power Ups"
"Attrib_Canteen_Specialist_shortdesc"			"Canteen Specialist"
"Attrib_Overheal_Expert_shortdesc"				"Overheal Expert"
"Attrib_Medic_MadMilkSyringes_shortdesc"		"Mad Milk Syringes"
"Attrib_Healing_Mastery_shortdesc"				"Healing Mastery"
"Attrib_RageOnHeal_shortdesc"					"Projectile Shield"
"Attrib_Revive"									"Revive Teammates"

// Pyro
"Attrib_WpnBurnDmg_Increased_shortdesc"			"+%s1% Burn Damage"
"Attrib_WpnBurnTime_Increased_shortdesc"		"+%s1% Burn Time"
"Attrib_AirBlastPushScale_shortdesc"			"+%s1% Airblast Force"

// Demo
"Attrib_ChargeImpactDamageIncreased_shortdesc"	"+%s1% Charge Damage"
"Attrib_ChargeRechargeRateIncreased_shortdesc"	"+%s1% Charge Recharge"

// Scout
"Attrib_MarkForDeath_shortdesc"					"Ball Marks Target"

// Halloween Merasmus Hat
"Attrib_Merasmus_Hat_Level"						"Killed Merasmus at level %s1"

"Attrib_MvMChallengesCompletedSummary"			"Challenges completed: %s1"
"Attrib_MvMChallengeCompletedDetail"			"Completed: %s1 %s2"

"AttribFormat_AdditionalNote"			"( %s1 )"

// Hat Unusuals
"Attrib_Particle0"			"Invalid Particle"
"Attrib_Particle1"			"Particle 1"
"Attrib_Particle2"			"Flying Bits"
"Attrib_Particle3"			"Nemesis Burst"
"Attrib_Particle4"			"Community Sparkle"
"Attrib_Particle5"			"Holy Glow"
"Attrib_Particle6"			"Green Confetti"
"Attrib_Particle7"			"Purple Confetti"
"Attrib_Particle8"			"Haunted Ghosts"
"Attrib_Particle9"			"Green Energy"
"Attrib_Particle10"			"Purple Energy"
"Attrib_Particle11"			"Circling TF Logo"
"Attrib_Particle12"			"Massed Flies"
"Attrib_Particle13"			"Burning Flames"
"Attrib_Particle14"			"Scorching Flames"
"Attrib_Particle15"			"Searing Plasma"
"Attrib_Particle16"			"Vivid Plasma"
"Attrib_Particle17"			"Sunbeams"
"Attrib_Particle18"			"Circling Peace Sign"
"Attrib_Particle19"			"Circling Heart"
"Attrib_Particle20"			"Map Stamps"
"Attrib_Particle28"			"Genteel Smoke"
"Attrib_Particle29"			"Stormy Storm"
"Attrib_Particle30"			"Blizzardy Storm"
"Attrib_Particle31"			"Nuts n' Bolts"
"Attrib_Particle32"			"Orbiting Planets"
"Attrib_Particle33"			"Orbiting Fire"
"Attrib_Particle34"			"Bubbling"
"Attrib_Particle35"			"Smoking"
"Attrib_Particle36"			"Steaming"
"Attrib_Particle37"			"Flaming Lantern"
"Attrib_Particle38"			"Cloudy Moon"
"Attrib_Particle39"			"Cauldron Bubbles"
"Attrib_Particle40"			"Eerie Orbiting Fire"

"Attrib_Particle43"			"Knifestorm"
"Attrib_Particle44"			"Misty Skull"
"Attrib_Particle45"			"Harvest Moon"
"Attrib_Particle46"			"It's A Secret To Everybody"
"Attrib_Particle47"			"Stormy 13th Hour"

"Attrib_Particle56"			"Kill-a-Watt"
"Attrib_Particle57"			"Terror-Watt"
"Attrib_Particle58"			"Cloud 9"
"Attrib_Particle59"			"Aces High"
"Attrib_Particle60"			"Dead Presidents"
"Attrib_Particle61"			"Miami Nights"
"Attrib_Particle62"			"Disco Beat Down"

"Attrib_Particle63"			"Phosphorous"
"Attrib_Particle64"			"Sulphurous"
"Attrib_Particle65"			"Memory Leak"
"Attrib_Particle66"			"Overclocked"
"Attrib_Particle67"			"Electrostatic"
"Attrib_Particle68"			"Power Surge"
"Attrib_Particle69"			"Anti-Freeze"
"Attrib_Particle70"			"Time Warp"
"Attrib_Particle71"			"Green Black Hole"
"Attrib_Particle72"			"Roboactive"

"Attrib_Particle73"			"Arcana"
"Attrib_Particle74"			"Spellbound"
"Attrib_Particle75"			"Chiroptera Venenata"
"Attrib_Particle76"			"Poisoned Shadows"
"Attrib_Particle77"			"Something Burning This Way Comes"
"Attrib_Particle78"			"Hellfire"
"Attrib_Particle79"			"Darkblaze"
"Attrib_Particle80"			"Demonflame"

"Attrib_Particle81"			"Bonzo The All-Gnawing"
"Attrib_Particle82"			"Amaranthine"
"Attrib_Particle83"			"Stare From Beyond"
"Attrib_Particle84"			"The Ooze"
"Attrib_Particle85"			"Ghastly Ghosts Jr"
"Attrib_Particle86"			"Haunted Phantasm Jr"

"Attrib_Particle87"			"Frostbite"
"Attrib_Particle88"			"Molten Mallard"
"Attrib_Particle89"			"Morning Glory"
"Attrib_Particle90"			"Death at Dusk"

"Attrib_Particle91"			"Abduction"
"Attrib_Particle92"			"Atomic"
"Attrib_Particle93"			"Subatomic"
"Attrib_Particle94"			"Electric Hat Protector"
"Attrib_Particle95"			"Magnetic Hat Protector"
"Attrib_Particle96"			"Voltaic Hat Protector"
"Attrib_Particle97"			"Galactic Codex"
"Attrib_Particle98"			"Ancient Codex"
"Attrib_Particle99"			"Nebula"

// Halloween 2015 Unusual
"Attrib_Particle100"			"Death by Disco"
"Attrib_Particle101"			"It's a mystery to everyone"
"Attrib_Particle102"			"It's a puzzle to me"
"Attrib_Particle103"			"Ether Trail"
"Attrib_Particle104"			"Nether Trail"
"Attrib_Particle105"			"Ancient Eldritch"
"Attrib_Particle106"			"Eldritch Flame"

// Halloween 2016 Unusual
"Attrib_Particle107"			"Neutron Star"
"Attrib_Particle108"			"Tesla Coil"
"Attrib_Particle109"			"Starstorm Insomnia"
"Attrib_Particle110"			"Starstorm Slumber"

// Halloween 2018 Unusual
"Attrib_Particle111"			"Brain Drain"
"Attrib_Particle112"			"Open Mind"
"Attrib_Particle113"			"Head of Steam"
"Attrib_Particle114"			"Galactic Gateway"
"Attrib_Particle115"			"The Eldritch Opening"
"Attrib_Particle116"			"The Dark Doorway"
"Attrib_Particle117"			"Ring of Fire"
"Attrib_Particle118"			"Vicious Circle"
"Attrib_Particle119"			"White Lightning"
"Attrib_Particle120"			"Omniscient Orb"
"Attrib_Particle121"			"Clairvoyance"

// Halloween 2019 Unusual
"Attrib_Particle122"			"Fifth Dimension"
"Attrib_Particle123"			"Vicious Vortex"
"Attrib_Particle124"			"Menacing Miasma"
"Attrib_Particle125"			"Abyssal Aura"
"Attrib_Particle126"			"Wicked Wood"
"Attrib_Particle127"			"Ghastly Grove"
"Attrib_Particle128"			"Mystical Medley"
"Attrib_Particle129"			"Ethereal Essence"
"Attrib_Particle130"			"Twisted Radiance"
"Attrib_Particle131"			"Violet Vortex"
"Attrib_Particle132"			"Verdant Vortex"
"Attrib_Particle133"			"Valiant Vortex"

// Smissmas 2019 Unusual
"Attrib_Particle134"			"Sparkling Lights"
"Attrib_Particle135"			"Frozen Icefall"
"Attrib_Particle136"			"Fragmented Gluons"
"Attrib_Particle137"			"Fragmented Quarks"
"Attrib_Particle138"			"Fragmented Photons"
"Attrib_Particle139"			"Defragmenting Reality"
"Attrib_Particle141"			"Fragmenting Reality"
"Attrib_Particle142"			"Refragmenting Reality"
"Attrib_Particle143"			"Snowfallen"
"Attrib_Particle144"			"Snowblinded"
"Attrib_Particle145"			"Pyroland Daydream"

// Summer 2020 Unusual
"Attrib_Particle147"			 "Verdatica"
"Attrib_Particle148"			 "Aromatica"
"Attrib_Particle149"			 "Chromatica"
"Attrib_Particle150"			 "Prismatica"
"Attrib_Particle151"			 "Bee Swarm"
"Attrib_Particle152"			 "Frisky Fireflies"
"Attrib_Particle153"			 "Smoldering Spirits"
"Attrib_Particle154"			 "Wandering Wisps"
"Attrib_Particle155"			 "Kaleidoscope"

// Halloween 2020 Unusual
"Attrib_Particle156"			"Green Giggler"
"Attrib_Particle157"			"Laugh-O-Lantern"
"Attrib_Particle158"			"Plum Prankster"
"Attrib_Particle159"			"Pyroland Nightmare"
"Attrib_Particle160"			"Gravelly Ghoul"
"Attrib_Particle161"			"Vexed Volcanics"
"Attrib_Particle162"			"Gourdian Angel"
"Attrib_Particle163"			"Pumpkin Party"

// Smissmas 2020 Unusual
"Attrib_Particle164"			"Frozen Fractals"
"Attrib_Particle165"			"Lavender Landfall"
"Attrib_Particle166"			"Special Snowfall"
"Attrib_Particle167"			"Divine Desire"
"Attrib_Particle168"			"Distant Dream"
"Attrib_Particle169"			"Violent Wintertide"
"Attrib_Particle170"			"Blighted Snowstorm"
"Attrib_Particle171"			"Pale Nimbus"
"Attrib_Particle172"			"Genus Plasmos"
"Attrib_Particle173"			"Serenus Lumen"
"Attrib_Particle174"			"Ventum Maris"
"Attrib_Particle175"			"Mirthful Mistletoe"

// Summer 2021 Unusual
"Attrib_Particle177"			"Resonation"
"Attrib_Particle178"			"Aggradation"
"Attrib_Particle179"			"Lucidation"
"Attrib_Particle180"			"Stunning"
"Attrib_Particle181"			"Ardentum Saturnalis"
"Attrib_Particle182"			"Fragrancium Elementalis"
"Attrib_Particle183"			"Reverium Irregularis"
"Attrib_Particle185"			"Perennial Petals"
"Attrib_Particle186"			"Flavorsome Sunset"
"Attrib_Particle187"			"Raspberry Bloom"
"Attrib_Particle188"			"Iridescence"

// Halloween 2021 Unusual
"Attrib_Particle189"			"Tempered Thorns"
"Attrib_Particle190"			"Devilish Diablo"
"Attrib_Particle191"			"Severed Serration"
"Attrib_Particle192"			"Shrieking Shades"
"Attrib_Particle193"			"Restless Wraiths"
"Attrib_Particle194"			"Restless Wraiths"
"Attrib_Particle195"			"Infernal Wraith"
"Attrib_Particle196"			"Phantom Crown"
"Attrib_Particle197"			"Ancient Specter"
"Attrib_Particle198"			"Viridescent Peeper"
"Attrib_Particle199"			"Eyes of Molten"
"Attrib_Particle200"			"Ominous Stare"
"Attrib_Particle201"			"Pumpkin Moon"
"Attrib_Particle202"			"Frantic Spooker"
"Attrib_Particle203"			"Frightened Poltergeist"
"Attrib_Particle204"			"Energetic Haunter"

// Smissmas 2021 Unusual
"Attrib_Particle205"			"Smissmas Tree"
"Attrib_Particle206"			"Hospitable Festivity"
"Attrib_Particle207"			"Condescending Embrace"
"Attrib_Particle208"			"Condescending Embrace"
"Attrib_Particle209"			"Sparkling Spruce"
"Attrib_Particle210"			"Glittering Juniper"
"Attrib_Particle211"			"Prismatic Pine"
"Attrib_Particle212"			"Spiraling Lights"
"Attrib_Particle213"			"Twisting Lights"
"Attrib_Particle214"			"Stardust Pathway"
"Attrib_Particle215"			"Flurry Rush"
"Attrib_Particle216"			"Spark of Smissmas"
"Attrib_Particle217"			"Spark of Smissmas"
"Attrib_Particle218"			"Polar Forecast"
"Attrib_Particle219"			"Shining Stag"
"Attrib_Particle220"			"Holiday Horns"
"Attrib_Particle221"			"Ardent Antlers"
"Attrib_Particle222"			"Ardent Antlers"
"Attrib_Particle223"			"Festive Lights"

// Summer 2022 Unusual
"Attrib_Particle224"			"Crustacean Sensation"
"Attrib_Particle225"			"Crustacean Sensation"
"Attrib_Particle226"			"Frosted Decadence"
"Attrib_Particle227"			"Frosted Decadence"
"Attrib_Particle228"			"Sprinkled Delights"
"Attrib_Particle229"			"Terrestrial Favor"
"Attrib_Particle230"			"Tropical Thrill"
"Attrib_Particle231"			"Flourishing Passion"
"Attrib_Particle232"			"Dazzling Fireworks"
"Attrib_Particle233"			"Blazing Fireworks"
"Attrib_Particle234"			"Shimmering Fireworks"
"Attrib_Particle235"			"Twinkling Fireworks"
"Attrib_Particle236"			"Sparkling Fireworks"
"Attrib_Particle237"			"Glowing Fireworks"
"Attrib_Particle238"			"Glimmering Fireworks"
"Attrib_Particle239"			"Flying Lights"
"Attrib_Particle240"			"Flying Lights"
"Attrib_Particle241"			"Limelight"
"Attrib_Particle242"			"Shining Star"
"Attrib_Particle243"			"Cold Cosmos"
"Attrib_Particle244"			"Refracting Fractals"
